Site,Treatment,Filcyano800x150,Filcyano200x50,FilcyanoBead10um,FilcyanoBeadLess10um,FilcyanoWidthLess7um,DiatomPointed30x10,DiatomPointed10x5,DiatomBoxy40x20,DiatomBoxyChains,DiatomChains25x7,DiatomChains13x8,DiatomLess10x5,DiatomTapered70,EncrustUndefined,EncrustDiamond,CoccoidCyano,Other,GripTapeSubstrate
1,Ungrazed,2.925925926,2.703703704,0.518518519,0.592592593,11.25925926,0,0.074074074,6.074074074,10.51851852,1.814814815,6.296296296,0.185185185,43.59259259,0,4.703703704,0.888888889,7.851851852,0
1,Natural,0,0,0,0,9.333333333,0,0.37037037,0.074074074,0.222222222,0,0.555555556,0,30.62962963,43.40740741,15.40740741,0,0,0
1,Lscabra,0,0,0,0,8.5,0.115384615,0.5,0.153846154,0.153846154,0,2.115384615,0,53.23076923,25.61538462,9.461538462,0.153846154,0,0
1,Laustro,0,0.32,0.08,0,11.04,0,0.08,0,0.32,0,0.16,0,56.2,11.16,20.64,0,0,0
2,Ungrazed,1.25,2.458333333,0.208333333,0,29.70833333,0,0,0.541666667,4.875,0.166666667,0.166666667,0,56.25,0.416666667,3.875,0.083333333,0,0
2,Natural,0,0,0,0,11.7037037,0,0,0,0.296296296,0,0.333333333,0,73.44444444,5.074074074,8.925925926,0.222222222,0,0
2,Lscabra,0,0,0.148148148,0,8.37037037,0,0,0,0,0.111111111,0.148148148,0,57.11111111,29.33333333,4.481481482,0.296296296,0,0
2,Laustro,0,5.708333333,0,0,5.75,0,0,0.083333333,0,0,0.125,0,53.33333333,22.25,12.75,0,0,0
3,Ungrazed,0,0,0.333333333,0,17.11111111,0.111111111,0,1.166666667,19,1.333333333,0.388888889,0.166666667,57.05555556,2.222222222,1.111111111,0,0,0
3,Natural,0,0,0.222222222,0.074074074,22.55555556,0,0,2.333333333,4.296296296,1.037037037,0.37037037,0,49.14814815,9.814814815,10.14814815,0,0,0
3,Lscabra,1.222222222,0.148148148,0,0,2.962962963,0,0,0.074074074,0.444444444,0,0.222222222,0,24.74074074,65.66666667,4.074074074,0.444444444,0,0
3,Laustro,0,0,0,0.086956522,2.956521739,0,0.086956522,0,0.086956522,0,0.173913044,0.086956522,26.47826087,67.08695652,2.782608696,0.173913044,0,0
4,Ungrazed,0.37037037,1.481481482,0.222222222,1.555555556,8.777777778,0.148148148,0.296296296,1.666666667,0.62962963,0.296296296,1.296296296,0,60.88888889,15.88888889,6.407407407,0.074074074,0,0
4,Natural,4.153846154,0.115384615,0,0.076923077,8.692307692,0.076923077,0.230769231,0,0.230769231,0,0.5,0,67.19230769,12,6.730769231,0,0,0
4,Lscabra,0,0.153846154,0,0.076923077,14.26923077,0,0.076923077,0.538461539,1.384615385,0.269230769,1.769230769,0.192307692,53.11538462,23.34615385,4.807692308,0,0,0
4,Laustro,0,0.076923077,0.307692308,0.230769231,17.57692308,0,0,0.461538462,1.153846154,0.076923077,0.5,0,61.5,9.384615385,8.730769231,0,0,0
5,Ungrazed,0.592592593,1.777777778,0.62962963,0,30.37037037,0,0.074074074,0.555555556,1.407407407,0.074074074,3.777777778,0,58.07407407,0,1.037037037,0,1.62962963,0
5,Natural,0,0,0.074074074,0,8.592592593,0,0.37037037,0.148148148,0.407407407,0.074074074,1.333333333,0,72.96296296,4.37037037,11.76923077,0.346153846,0,0
5,Lscabra,2.947368421,0,0,0,13.26315789,0.105263158,0,0,0.105263158,0,0.210526316,0,44.21052632,35.26315789,3.421052632,0.473684211,0,0
5,Laustro,0,0,0,0,13.52,0,0,0,0.16,0,0.08,0,20.8,57.36,7.76,0.32,0,0
6,Ungrazed,0,1.166666667,0,0,5.458333333,0,0.208333333,0.083333333,0.666666667,0,0.666666667,0,87.33333333,0,4.333333333,0.083333333,0,0
6,Natural,0,0,0.086956522,0.130434783,30,0,0.086956522,2.434782609,1.217391304,0.608695652,0.826086957,0,59.17391304,2.304347826,3.130434783,0,0,0
6,Lscabra,0,0,0.083333333,0,6.125,0.083333333,0.083333333,0.083333333,0.083333333,0,0,0,35.25,55.08333333,3.041666667,0,0,0
6,Laustro,0,0,0,0,18.54166667,0,0,0.166666667,1.375,0,0.083333333,0,51.75,26.04166667,2.041666667,0,0,0
